restaurant,chunk
Aromatic Restaurant,restaurant: Aromatic Restaurant classement : 50 
Aromatic Restaurant,"restaurant: Aromatic Restaurant horaires : mar : 12:00-14:00 - 18:30-20:30, mer : 12:00-14:00 - 18:30-20:30, jeu : 12:00-14:00 - 18:30-20:30, ven : 12:00-14:00 - 18:30-20:30, sam : 12:00-14:00 - 18:30-20:30 "
Aromatic Restaurant,restaurant: Aromatic Restaurant note_globale : 5.0 
Aromatic Restaurant,restaurant: Aromatic Restaurant note_cuisine : 4.8 
Aromatic Restaurant,restaurant: Aromatic Restaurant note_service : 4.8 
Aromatic Restaurant,restaurant: Aromatic Restaurant note_rapportqualiteprix : 4.7 
Aromatic Restaurant,restaurant: Aromatic Restaurant note_ambiance : 4.7 
Aromatic Restaurant,"restaurant: Aromatic Restaurant infos_pratiques : L’Aromatic est né de l’envie commune de deux amis passionnés de conjuguer savoir-faire et savoir-vivre. Avec la volonté assumée de partager une cuisine bistronomique généreuse et raffinée, notre restaurant vous accueille au cœur de l’authentique quartier de la Croix Rousse. "
Aromatic Restaurant,"restaurant: Aromatic Restaurant repas : Déjeuner, Dîner "
Aromatic Restaurant,"restaurant: Aromatic Restaurant fourchette_prix : 18,00 -41,00  "
Aromatic Restaurant,"restaurant: Aromatic Restaurant fonctionnalites : Réservations, Terrasse, Salle privée, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Cartes bancaires acceptées, Service de table "
Aromatic Restaurant,"restaurant: Aromatic Restaurant type_cuisines : Française, Européenne "
Aromatic Restaurant,restaurant: Aromatic Restaurant nb_avis : 1118 
Aromatic Restaurant,restaurant: Aromatic Restaurant nbExcellent : 934 
Aromatic Restaurant,restaurant: Aromatic Restaurant nbTresbon : 135 
Aromatic Restaurant,restaurant: Aromatic Restaurant nbMoyen : 41 
Aromatic Restaurant,restaurant: Aromatic Restaurant nbMediocre : 3 
Aromatic Restaurant,restaurant: Aromatic Restaurant nbHorrible : 5 
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Super service, super entrée, super plat et super dessert ! Produits frais et extras , nous nous sommes réglées encore une fois !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Un menu découverte fantastique avec des produits parfaitement travaillés.

Un accord mets vins plein de découverte.

Une ambiance chic mais décontractée 
Une équipe aux petits soins 

Bref un super resto à faire en couple, entre amis ou même en famille pour un super RQP.
Merci Aromatic"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : L'accueil était chaleureux et le service impeccable.
La carte est variée, sans excès et les plats de qualité.
Les vins, même au verre, sont de très belle facture.
Et tout cela pour un prix somme toute raisonnable.
A ne pas manquer, hormis peut être le café décevant.....mais il faut bien une petite fausse note !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons apprécié la qualité du dîner : produits, goûts, présentation, mais aussi la gentillesse et le sourire des personnels. Nous reviendrons dans ce restaurant"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Une très bon moment entre amis!

Les plats sont vraiment très bons, bien aboutis, savoureux, colorés et texturés. 
Un vrai coup de cœur pour l’œuf parfait!"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Bon dîner: délicieux amuse-bouche pour l’apéro, entrées et plats très bons avec un bémol au niveau du dessert pour la poire blette!"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Superbe adresse, des mets raffinés, plein de saveurs et des cuissons maîtrisé. L'accord mets et vins était juste parfait. 
Bravo à toute l'équipe."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : On m'avait recommandé l'endroit, je ne suis pas déçu du tout. 
Menu découverte, rapport qualité prix imbattable. 
L'accueil et le service chaleureux.
Je vais le recommander a mon tour."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Une equipe agréable, un service impeccable et des plats succulents. Je recommande vivement. Les gnocchis en entrée sont a tombés, la viande est tendre, la sauce délicieuse. Nous avons passé un moment très sympathique"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Un restaurant agréable, rapport qualité prix un peu décevant. Service juste suffisant, beaucoup d'attente entre les plats. Cette fois ci déçu par le menu dégustation et les plats proposés. Le dessert était vraiment en dessous du reste c'est dommage"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Bonne cuisine, avec de bon produit. On sent bien les goûts des produits frais mais on s’attendait à un peu plus de découvert de saveur et plus surpris culinairement.
Restaurant Conviviale 
Serveuse très souriante et très avenante"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons déjà diné deux fois à L'Aromatic en 3 mois, c'était une vrai claque culinaire avec un accueil chaleureux.
Nous recommandons."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Un accueil souriant et bienveillant, une cuisine creative et raffinée, un plaisir pour les yeux et les papilles!
Nous nous sommes régalés, et recommandons chaleureusement cette excellente adresse. 
Félicitations et longue vie à cette équipe jeune et dynamique!"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Belle adresse, un très bon repas! 
Un petit bémol à souligner vu l'établissement c'est le service qui nous a fait comprendre à plusieurs reprises qu'il ne fallait pas traîner.."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Cuisine subtile qui permet de bien apprécier toutes les saveurs, de l'amuse-bouche au dessert ! Les assiettes sont dressées simplement et avec beaucoup de raffinement, le service est juste à sa place, entre convivialité et discrétion ! 
Une superbe découverte !!!"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Mon ancien avis était trop ancien!
Toujours l’endroit pour passer un bon moment avec un service remarquable et une cuisine savoureuse et surprenante.
Laissez vous bercer par le personnel en cuisine et en salle
Foncez"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Délicieux 
Rapport qualité prix excellent 
Produits frais travaillés avec une grande finesse 
Sélection de vins au top
Service attentionné"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Trois menus, à prix croissant, à choisir parmi les propositions de la carte.
Le chef a un bon tour de main, une cuisine plutôt gastronomique, des assiettes très belles dans lesquelles les produits sont bien mis en valeur et bien présentés.
Les assaisonnements révèlent un chef de caractère.
Un bémol : la température des bouillons sensés terminer la cuisson ou réchauffer les ravioles ou le poisson, n'est pas suffisante , donnant la sensation de manger une raviole froide ou un poisson trop cru."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Bonne cuisine, accueil pas très sympathique. De plus, sur le principe, on peut changer les couverts entre un plat de viande et un plat de poisson, sur un menu à 45€…."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bon rapport qualité / prix
Nous étions deux en terrasse, personnel accueillant, et nous avons choisi à la carte entre / plat / fromage.
Les quantités sont suffisantes, et la qualité gustatives des plats est au rendez-vous.
Seul bémol sur le fromage, un contenait du cumin que nous n’aimons pas, nous ne l’avons pas non plus notifié à la serveuse."
Aromatic Restaurant,restaurant: Aromatic RestaurantCommentaire : Une équipe au top tant en cuisine qu’au service. On se sent bien dans ce restaurant et on y découvre des plats succulents et inventifs. Bravo!
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bon accueil, service efficace et souriant, plats excellens, rapport qualité / prix convenable. 
Dîner en terrasse. Deux couples."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très agréable déjeuner, cuisine créative et personnel charmant! Le Menu du jour et la carte donne envie de revenir pour goûter l’ensemble."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons passé une très belle soirée, le restaurant est très agréable. 
Les plats sont excellents, l'accord mets et vins est très recherché.
Le rapport qualité prix est imbattable. 
Nous reviendrons avec grand plaisir."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Toujours un régal , et toujours parfaitement accueilli … 
Le menu change régulièrement donc on ne peut pas se lasser ! Pour ceux qui hésitent encore , allez y vite !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Plus de 1000 avis positifs que nous confirmons 1000 fois! Bravo, un cadre sympa, de belles assiettes savoureuses. Allez y mais laissons nous une place pour y revenir!"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : L’endroit est magique, le chef est très sympa et la cuisine d’une qualité exceptionnelle. Un rapport qualité coût hors norme ! A vraiment essayer ou retourner. Et je ne parle pas des vins qui sont choisis avec goût et précisions."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Comme à chacune de nos visites, un accueil agréable, des plats fins et de qualité. Tout d'abord, un ""plaisir des yeux"", puis une harmonie des couleurs, et des saveurs originales.
En résumé, un moment de bonheur."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Deuxième visite de ce restaurant et toujours le même plaisir à déguster sa cuisine. Accueil et service charmant. Carte des vins sympa, juste une toute petite remarque, c’est la saison des petits poids mais n’est ce pas trop de les retrouver à la fois dans l’entrée et le plat principal"
Aromatic Restaurant,restaurant: Aromatic RestaurantCommentaire : Nous avons célébré des retrouvailles entre amis. Le menu dégustation a ravi nos papilles. L'accord avec les vins etait remarquable. Le service était parfait . Nous avons passé presque trois heures à table sans etre pressés et sans attendre ! Le rythme des plats était totalement adatpé !!! Un grand moment amical et gastronomique. Merci à l'équipe de l'Aromatic!
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Dîner avec ma maman pour ses 66 ans avec ce menu découverte en 5 plats excellent et un accueil chaleureux de la part de toute l'équipe. Un grand merci pour tout, ce fut une soirée à la hauteur de nos attentes."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : A la recherche d'une idée originale pour un repas en amoureux 😉, mon choix c'est porté sur l'Aromatic. Excellent choix, c'est non seulement bon mais superbement présenté. On sens l'amour de la cuisine fine. Merci"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très belle expérience hier soir avec une amie : nous avons opté pour le menu à 45€ avec entrée, plat et dessert et choisi l’accompagnement 3 verres : un verre de vin pour chaque étape du repas , superbement choisi par le chef pour accompagner au mieux les mets …. Une mention spéciale pour le carpaccio de veau qui a émerveillé nos papilles !
Je recommande fortement ce bel endroit et c’est sûre : j’y reviendrais !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : A partager ! Une cuisine fine et délicate dans un cadre soigné, tout comme l’accueil. Superbe expérience dans le défilé des plats et des vins, une symphonie toute en légèreté du début à la fin. Et déjà l’envie d’y revenir pour découvrir les prochains produits frais qui seront mis à l’honneur par le chef…"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Excellent endroit, ambiance très feutrée, service discret et agréable, cuisine raffinée, carte des vins très étendue, et de qualité, un très bel endroit où l’ont mange formidablement bien. Excellent endroit à visiter de toutes urgences ! Ce que nous voulons désormais manger, au prix juste dans un endroit élégant .. bravo"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Excellent moment culinaire (menu dégustation) et soirée très agréable. Très bon service et cadre très sympa.
Je recommande."
Aromatic Restaurant,restaurant: Aromatic RestaurantCommentaire : Excellent! Produits frais et préparés avec le sourire ! Vous pouvez y aller les yeux fermés ! De notre côté nous y retournerons dès que possible !
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Délicieux repas .Accueil très sympathique 
Bon rapport qualité/ Prix 
Je reviendrais c est sûr. 
Poisson cuisson parfaite !!
Dessert très très bon"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons passé un très bon moment. La salle de restaurant est très agréable. Le personnel pour le service était à notre écoute, quand à la cuisine et les vins, nous nous sommes régalés. C'est un très bon rapport qualité prix."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Repas d'anniversaire de notre petit fils dans un cadre trop rustique, une échelle dans la petite salle, servis sur une table très, très rustique avec de nombreux passages des employés. Service rapide, pas de description des plats par la serveuse. Dans l'ensemble les plats sont bons sans plus. Je n'ai pas aimé l'entrée à la truite."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très belle adresse ! Loin des zones très touristiques, ce restaurant vaut vraiment le coup : très bon accueil, très sympa, et des plats très savoureux, tant au menu qu'à la carte. Travaillés, recherchés, mais pas à l'excès. On a en plus découvert un beau Pinot noir au verre
Au final, rapport Qualité / Prix excellent. Ce qu'on attend d'un restaurant dans la ville de la Gastronomie...mais qui devient malheureusement un peu rare
N'hésitez pas à tester !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bonne nourriture et très bon accueil. Cadre très agréable. 
Un bémol : les desserts trop sucrés.
Un deuxième bémol : nous avons été sollicités pour un avis à la fin du repas, et avons fait part de cette remarque qui a été très mal reçue."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : De passage dans cet établissement un midi car attiré par l'ardoise qui affichait un menu du jour à 21 euros entrée/plat et une bonne quinzaine de tables occupées , cela présage généralement une belle expérience ! 

Je fus vraiment plus que bien accueilli par 2 charmantes serveuses qui m'annoncent que le restaurant est complet mais qu'elles vont me préparer la table d'hôtes.

Une grande table rien que pour moi j'étais aux anges. Bref le repas commence, minestron de légumes et bisque de homard et gambas un délice.
Le patron vient me voir pour me conseiller un petit blanc justement trouvé pour accompagner mon mon entrée ( n'hésitez pas à le demander il s'y connaît vraiment bien au vu des recommandations) 

Le plat arrive selle d'agneau, champignons, pomme de terres parfaitement assaisonnées et jus corsé un petit délice ! 
On m'a dirigé vers un Bourgogne ( les rives de l'étang ) somptueux. 

Un moment vraiment agréable, un service excellent, une cuisine recherchée et très bien exécutée .

Je ne peux que vous le conseiller foncez y le midi comme le soir."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Une saint-Valentin inoubliable, une cuisine raffinée, nous avons passé un si bon moment dans ce restaurant ! Le service est également exceptionnel ! A très vite, nous avons hâte de revenir !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Agréable moment en couple où nous avons choisi le menu dégustation. Les plats sont très bons, raffinés et originaux dans le goût et les saveurs. Au niveau des quantités c’est ce qu’il faut nous ne sommes pas ressortis « trop plein ». Bravo aux équipes en cuisine.
Seuls petits bémols, les plats s’enchaînent assez vite, les tables sont très rapprochées (pas trop d’intimité) et une des serveuses en salle est un peu « hautaine » et pourrait être un peu plus aimable dans la relation avec les clients.
Nous recommandons ce restaurant qui est à découvrir car nous avons fait une bonne découverte culinaire."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Belle soirée avec le menu dégustation ( 2 entrées 2 plats et une dessert ).
Pas trop copieux ce qui permet de terminer sans être trop lourd 
Service impeccable"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Ce restaurant est très agréable, le service est rapide, et sympathique, et les plats sont délicieux et très bien présentés.
A recommander !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Accueil et service très chaleureux et efficace. La salle est agréable et l’on s’y sent à son aise. Les plats sont délicats, originaux et pleins de saveurs. Les vins proposés en bouteille offrent un large choix et sont de qualité. Situé à 5 minutes du métro Croix-Rousse dans une petite rue tranquille. Parfait !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bon moment passé à l'aromatic, nous avons très bien mangé; et les équipes sont très sympas. les prix sont tout à fait corrects pour le menu que nous avons pris, nous vous recommandons cet endroit."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons passé un excellent moment, j’ai dîné avec ma mère. Les plats sont fins et originaux, les saveurs exquises, la bouteille de vin qu’on nous a recommandée allait parfaitement avec nos plats. 
Le service est juste le bon rythme 
Très bonne expérience, je reviendrai !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Un restaurant que je voulais faire depuis bien longtemps ! Je n’aurais pas dû attendre autant ! L’accueil est chaleureux et irréprochable tout comme le service ! Les plats sont absolument tous excellents, soignés, et les associations sont parfaites ! On s’est régalés de la mise en bouche au dessert ! Restaurant qui mérite très largement ses notes, n’hésitez pas une seule seconde"
Aromatic Restaurant,restaurant: Aromatic RestaurantCommentaire : TRES BON RESTAURANT UNE CUISINE CREATIVE AVEC DES METS DE QUALITE . UN ACCUEIL CHALEUREUX ET PROFESSIONNEL. UNE AMBIANCE COSY PAS TROP DE COUVERT .UNE BELLE DECOUVERTE NOUS AVONS PASSE UNE SOIREE TRES AGREABLE .
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Tout ce que l’on recherche aujourd’hui dans la restauration… des produits excellents, préparés avec soin, avec goût, des prix contenus, un véritable savoir-faire culinaire ! Bravo et merci. Ajoutons une carte des vins très bien faites à des prix extrêmement accessibles ! À faire de toute urgence ! Bravo"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Superbe restaurant
Tous les plats sont délicieux et merveilleusement cuisinés. Le service est top et de bon conseil.
Nous avons dîné saumon, poisson,Saint Jacques dessert au chocolat et mont blanc.
S était incroyable toutes ces saveurs."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Un enchantement 
Mes papilles frétillent encore 
Un mélange de saveur 
Le produit est au rdv et mis en valeur avec les condiments et sauces 
Un vrai régal 
On peut y aller les yeux fermés"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Encore une fois parfait, toute la table était unanime.
Jamais déçu 
Merci à toute l’équipe pour ce délicieux moment.
À très bientôt"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Accueil agréable pour un repas raffiné et copieux.
Seul (très) petit bémol, une fois que vous êtes assis, vous ne pouvez plus bouger quand vous êtes à certaines tables.
Mais,, nous recommandons fortement et nous reviendrons avec plaisir !
Apparemment, les menus changent chaque mois, donc pourquoi pas dès le mois prochain."
